Rank,Country,Year,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population mid-2018 (millions),"Births per 1,000 Population","Deaths per 1,000 Population",GNI per Capita PPP 2017,Infant Mortality Rate,Number of Records,Percent Urban,Total Fertility Rate
72nd,India,1/1/2017,77.9,7.4,7.3,8.3,5.1,7,6.1,4.7,7.4,6,7.9,5.3,5.4,1371.3,20,6,"7,060",34,1,34,2.3
73rd,Benin,1/1/2017,77.6,6.2,6.7,3.4,6.6,7.6,7.4,5.4,8.7,5.2,8.3,5.5,6.6,11.5,37,9,"2,260",63,1,45,5
74th,Nicaragua,1/1/2017,77.4,5.6,7.1,6.5,5.7,8,8.1,7.9,6.7,5.2,5.3,4,7.3,6.3,20,5,"5,680",18,1,59,2.2
75th,Ecuador,1/1/2017,77.3,6.8,8.2,7.3,6,6.7,5.8,6.5,6.5,5,6.5,5.7,6.3,17,20,5,"11,350",19,1,64,2.5
76th,Fiji,1/1/2017,76.9,7.1,7.9,6.9,6.5,6.3,8.2,6.9,5,6.9,4.9,3.1,7.2,0.9,18,7,"9,090",14,1,56,2.3
77th,Algeria,1/1/2017,76.8,7.2,7.1,7.1,6.6,6.6,5.8,6.9,6,6.6,5.2,6.8,4.9,42.7,26,4,"15,050",22,1,73,3.1
77th,Bolivia,1/1/2017,76.8,6.5,8,6,5.4,8.6,7,6.5,6.8,6,6.3,3.9,5.8,11.3,23,7,"7,330",37,1,69,2.9
79th,Georgia,1/1/2017,76.5,6.8,9.1,7.9,5.5,5.5,4.9,8.3,4.3,5.6,3.7,7.5,7.4,3.9,14,13,"10,120",10,1,58,2.1
80th,Micronesia,1/1/2017,76.4,4.6,5.6,4,8.8,8.3,9.8,5.5,6,3.3,7.1,3.9,9.5,,,,,,1,,
81st,Azerbaijan,1/1/2017,76.3,6.2,7.9,6.5,4.1,5.9,4.3,8.8,5.4,8.5,4.6,7.7,6.4,9.9,15,6,"16,650",11,1,53,1.9
